group,n,system,delta_um_mean,delta_um_sem,max_slope_mean,max_slope_sem,alpha_mean,alpha_sem,y_near_mean,y_near_sem,y_far_mean,y_far_sem,r0_um_mean,r0_um_sem,transition_width_um_mean,transition_width_um_sem,S_mean,S_sem,r_break_um_mean,r_break_um_sem,zone_metric_mean,zone_metric_sem,dR_dr_um_per_mm_mean,dR_dr_um_per_mm_sem,pearson_r_mean,pearson_r_sem,dtau50_dr_mean,dtau50_dr_sem,dtau50_dr_sizematched_mean,dtau50_dr_sizematched_sem
Agar,5,Hydrogel,107.08,14.722071865060297,0.01299307700457834,0.0025622972007187704,0.0014858051629211202,0.0002956917708840117,32.59144484903805,7.892819429874227,54.918654479392615,2.590261592491522,1127.0121960901831,378.13634610033614,1567.7015585458994,285.1670272685414,1.17772721514873,0.028047780695056687,2220.0,205.91260281974002,0.29959530726939443,0.05708067162570756,,,,,-0.010597572362278278,0.03381549887784977,-0.1676885834618842,0.041912221742641156
1:1,5,Hydrogel,390.72,30.41562756215955,0.024961351191378822,0.005011843355521212,0.0012324979526876002,0.00019149326523390671,7.349807420883804,1.7246677522696916,46.96660218322561,4.57341752572807,528.9013128871518,63.05232400472999,1867.760878219824,412.59230486393506,1.3386442078912366,0.04364567333951291,1820.0,241.66091947189145,0.58294389903129,0.055135528501234564,,,,,1.0044117647058823,0.08213757726111477,0.8431594046978663,0.13139826189998566
2:1,5,Hydrogel,859.2,55.64322959713965,0.04126872441841136,0.006194098026742478,0.0022015980041320197,0.00033710378642979813,9.947952030512987,2.7746508045692733,47.86229765560867,3.0545316211204905,1018.1223458083838,53.75996149939104,980.9711877000133,123.48957444360532,1.4078565734726958,0.02712608113523358,1700.0,63.245553203367585,0.8187969703699721,0.02609609277672623,,,,,1.8455155955155953,0.16208961409018,1.481157731157731,0.1377126610784347
Green,5,Fungi,298.12,7.098126513383652,0.06487029154860419,0.010035135211649785,0.00666011267558342,0.0027086951885039253,15.056396903175749,4.609953157110746,40.178528288385685,2.629548706996263,358.6340761962958,24.017184968506168,449.7187565525798,105.54080083811537,1.268311073753426,0.030027472643921888,860.0,40.0,0.4170020647661673,0.044017546665597325,,,,,0.3627536979704162,0.026197141739077424,0.2592844762736404,0.04150110386359263
White,5,Fungi,139.85999999999999,14.785384675415111,0.0348754635578988,0.008606223269097324,0.0021910698043524995,0.000830685496002529,11.849971119750812,3.6763560418854184,49.92476117857607,4.0445262165508575,329.3051751623017,85.8455778186584,1521.4571755418824,522.5011980500492,1.303210997413794,0.02879351635446098,1260.0,172.04650534085255,0.46800106984962253,0.027238927867389837,,,,,0.5610391844137974,0.1264964377380325,0.17821775025799796,0.10218562523914312
Black,5,Fungi,109.82000000000001,10.122420659111139,0.02623071394733726,0.00818656488126832,0.0021135498473939,0.0006059435987354199,9.002260762395622,2.0369877505824956,33.065180650346704,3.6775394477589907,123.51612838781764,46.870730049665745,1448.2135515783789,516.7138463634408,1.2679304537943286,0.01694026720161394,670.0,43.58898943540674,0.38440844189733847,0.05082713656466447,,,,,0.35948487357156084,0.22803737105616756,0.023348281620340444,0.019046722608130142
Healthy,3,Leaf,,,,,,,,,,,,,,,,,,,,,9.536666666666667,1.4139464079110087,0.5720666666666666,0.06966149901089157,,,,
Diseased,3,Leaf,,,,,,,,,,,,,,,,,,,,,11.556666666666667,2.134215963246873,0.5662666666666667,0.00554807273844811,,,,
