Group,n,delta_mean,delta_sem,S_mean,S_sem,rbreak_mean,rbreak_sem
Agar (aw=1.00),5,107.08,14.722071865060297,1.17772721514873,0.028047780695056687,2220.0,205.91260281974002
1:1 NaCl (aw=0.87),5,390.72,30.41562756215955,1.3386442078912366,0.04364567333951291,1820.0,241.66091947189145
2:1 NaCl (aw=0.75),5,859.2,55.64322959713965,1.4078565734726958,0.02712608113523358,1700.0,63.245553203367585
Green fungi,5,298.12,7.098126513383652,1.268311073753426,0.030027472643921888,860.0,40.0
White fungi,5,139.85999999999999,14.785384675415111,1.303210997413794,0.02879351635446098,1260.0,172.04650534085255
Black fungi,5,109.82000000000001,10.122420659111139,1.2679304537943286,0.01694026720161394,670.0,43.58898943540674
